X1,X2,Y
185.317638,12.693965,1.000000
259.920475,11.867664,0.000000
231.013571,14.414242,0.000000
175.366645,11.720587,0.000000
187.120865,14.129732,1.000000
225.905864,12.100249,1.000000
208.405157,14.177189,0.000000
207.075931,14.032738,0.000000
280.603854,14.232259,0.000000
202.869352,12.249010,1.000000
196.704690,13.544264,1.000000
270.313270,14.602256,0.000000
192.949791,15.196868,0.000000
213.572835,14.275035,0.000000
164.472987,11.918174,0.000000
177.257505,15.037799,0.000000
241.774547,14.896945,0.000000
236.998896,13.126170,0.000000
219.738056,13.873774,0.000000
266.385928,13.252745,0.000000
270.452415,13.954868,0.000000
261.963077,13.492224,0.000000
243.489948,12.856101,0.000000
220.581848,12.364894,1.000000
163.594986,11.654417,0.000000
244.763179,13.325722,0.000000
271.194110,14.840733,0.000000
201.987843,15.394715,0.000000
229.928371,14.563533,0.000000
204.971238,12.284680,1.000000
173.189897,12.224825,0.000000
231.513745,11.950531,0.000000
152.687951,14.831988,0.000000
163.420501,13.302338,0.000000
215.947307,13.981090,0.000000
218.041955,15.249373,0.000000
251.303540,13.797866,0.000000
233.331738,13.526206,0.000000
280.242844,12.406504,0.000000
243.018664,13.720387,0.000000
155.671592,12.684600,0.000000
275.167536,14.638259,0.000000
151.732198,12.686505,0.000000
151.323722,14.809868,0.000000
164.899625,11.729821,0.000000
282.554251,13.283480,0.000000
192.983055,11.696054,0.000000
202.595363,12.964156,1.000000
220.669906,11.527142,0.000000
169.974989,12.339546,0.000000
209.468110,12.709213,1.000000
232.799236,12.641730,1.000000
272.800456,15.347480,0.000000
158.023707,12.336239,0.000000
226.008130,14.582641,0.000000
158.643271,12.239211,0.000000
211.657216,14.174763,0.000000
271.949270,14.967892,0.000000
257.156981,11.710929,0.000000
281.845927,13.958512,0.000000
161.625635,12.519715,0.000000
233.801801,13.042560,0.000000
210.291469,14.718340,0.000000
261.244182,13.687148,0.000000
256.980899,13.124020,0.000000
281.555048,13.920637,0.000000
280.639228,11.675951,0.000000
269.163508,13.737509,0.000000
246.341269,12.270380,1.000000
224.073336,12.657112,1.000000
164.239864,11.512747,0.000000
272.423403,14.183617,0.000000
177.677934,12.531275,1.000000
212.855232,14.773149,0.000000
165.879456,15.371139,0.000000
277.427953,12.478640,0.000000
236.505551,12.940390,0.000000
244.138652,11.847664,0.000000
213.445394,13.853963,0.000000
234.574224,14.271182,0.000000
270.336485,12.465001,0.000000
170.681233,13.062428,0.000000
226.791800,15.342115,0.000000
245.918254,14.453770,0.000000
281.316802,12.570973,0.000000
185.027319,13.190163,1.000000
189.881701,14.104414,1.000000
278.481379,12.114046,0.000000
219.922937,14.210312,0.000000
216.578985,15.154975,0.000000
249.481228,15.028707,0.000000
165.088273,12.283054,0.000000
158.870070,14.817278,0.000000
279.980519,11.555964,0.000000
256.549242,14.411325,0.000000
272.605217,12.581542,0.000000
246.494920,12.449692,0.000000
160.264482,14.480816,0.000000
155.698751,14.298378,0.000000
188.267433,13.449694,1.000000
270.356976,12.473632,0.000000
213.223792,12.920198,1.000000
175.701420,13.394606,1.000000
174.520094,14.696030,0.000000
233.000922,12.632523,1.000000
281.369174,12.881107,0.000000
240.619649,14.432895,0.000000
185.805563,11.547055,0.000000
270.503143,15.325666,0.000000
172.980791,12.114421,0.000000
208.410102,13.890278,0.000000
283.512655,15.353984,0.000000
283.360133,12.482278,0.000000
230.849232,13.243477,0.000000
181.239310,11.761509,0.000000
172.778330,12.933807,0.000000
161.882934,12.102956,0.000000
156.027950,13.991625,0.000000
216.516725,12.474212,1.000000
221.057080,13.197787,1.000000
238.985685,15.230669,0.000000
197.694434,14.080606,0.000000
179.553760,15.259598,0.000000
233.388485,12.134990,1.000000
184.701893,12.136605,1.000000
174.183095,12.727195,0.000000
261.114510,13.328235,0.000000
187.417946,13.176303,1.000000
186.098761,14.434730,0.000000
157.935468,12.656914,0.000000
193.638222,12.226078,1.000000
249.651031,12.220989,0.000000
190.564981,11.725906,0.000000
252.004061,12.955452,0.000000
238.550333,12.368944,1.000000
152.943026,12.789673,0.000000
255.173620,14.849783,0.000000
197.093367,14.887763,0.000000
156.797105,13.588458,0.000000
184.752026,13.256311,1.000000
179.921646,15.074266,0.000000
190.793580,15.281168,0.000000
164.727174,13.219324,0.000000
209.865066,14.337739,0.000000
196.578006,13.469980,1.000000
159.510623,12.744126,0.000000
247.872883,11.923646,0.000000
212.442316,12.446908,1.000000
172.340408,11.985262,0.000000
259.871900,14.246628,0.000000
201.226574,13.066564,1.000000
248.341759,13.915825,0.000000
273.662061,15.177655,0.000000
215.093585,14.136541,0.000000
223.530141,12.741142,1.000000
211.224312,14.384703,0.000000
224.612091,14.029625,0.000000
215.754895,15.311911,0.000000
254.822296,12.023140,0.000000
259.904784,15.170310,0.000000
260.248856,12.872433,0.000000
199.667715,12.472857,1.000000
157.520136,13.388245,0.000000
264.814824,14.575246,0.000000
239.396852,14.888763,0.000000
238.980373,12.393334,1.000000
258.425935,12.970080,0.000000
270.158366,12.805930,0.000000
162.406763,14.419593,0.000000
164.532312,14.980858,0.000000
205.609679,14.620485,0.000000
157.096741,13.675351,0.000000
241.380696,12.018021,1.000000
232.133706,12.072090,1.000000
191.038532,12.961141,1.000000
233.644025,12.020475,1.000000
174.951464,14.625026,0.000000
246.643212,13.316823,0.000000
188.070407,14.268819,1.000000
213.158994,12.746079,1.000000
268.082236,12.307361,0.000000
258.578185,13.971272,0.000000
237.207317,14.228610,0.000000
251.016591,15.023788,0.000000
274.278820,12.521956,0.000000
172.124638,15.085496,0.000000
177.516954,12.387860,1.000000
258.709694,15.364442,0.000000
264.013622,13.566922,0.000000
200.706050,15.454207,0.000000
249.369299,14.016374,0.000000
151.502384,12.280767,0.000000
151.821389,15.128162,0.000000
181.922857,12.184085,1.000000
228.646643,12.312407,1.000000
223.781833,15.299167,0.000000
266.627673,12.480510,0.000000
273.683982,13.097562,0.000000
220.610006,12.799891,1.000000
284.994342,12.728294,0.000000
